Sui Generis (Producer),None,None,None,None,None,None,None,None,None,FiST,None,None,None,None,None,Dispo am Limit,FiST,LyricsData/Dispo-am-Limit_FiST.txt,October 18 2013,None,Sui Generis (Producer)&Maxat,None,ImgData/Dispo-am-Limit_FiST.jpg,,None,3,None,None,None,None,None,None,Anthrazit Studio Paderborn,None,None,None
Andru,None,None,None,None,None,None,None,None,None,Rapsta,None,None,None,None,None,Horsd’œuvre 3,Rapsta,LyricsData/Horsd’œuvre-3_Rapsta.txt,October 3 2014,None,None,None,ImgData/Horsd’œuvre-3_Rapsta.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
Stereoids,Sui Generis (Producer),None,None,None,None,None,None,None,None,RAF Camora,None,None,None,None,None,Champion,RAF Camora,LyricsData/Champion_RAF-Camora.txt,March 30 2016,None,None,None,ImgData/Champion_RAF-Camora.jpg,,None,5,None,None,None,None,None,None,None,None,None,None
Sui Generis (Producer),None,None,None,None,None,None,None,None,None,D-Flame,Bonez MC,RAF Camora,None,None,None,Killa,Bonez MC & RAF Camora,LyricsData/Killa_Bonez-MC-&-RAF-Camora.txt,September 9 2016,None,None,None,ImgData/Killa_Bonez-MC-&-RAF-Camora.jpg,D-Flame,"29,617",15,None,None,None,None,None,None,None,None,None,None
Nablo Beatz,None,None,None,None,None,None,None,None,None,Rapsta,None,None,None,None,None,Meine Bitch,Rapsta,LyricsData/Meine-Bitch_Rapsta.txt,July 12 2013,None,None,None,ImgData/Meine-Bitch_Rapsta.jpg,,None,7,None,None,None,None,None,None,None,None,None,None
Pitlab,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Der Ekelhafte,NMZS,LyricsData/Der-Ekelhafte_NMZS.txt,None,None,None,None,ImgData/Der-Ekelhafte_NMZS.jpg,,"8,211",10,None,None,None,None,None,None,None,None,None,None
Hollywood Hank,None,None,None,None,None,None,None,None,None,Favorite,Hollywood Hank,None,None,None,None,Schema X,Favorite & Hollywood Hank,LyricsData/Schema-X_Favorite-&-Hollywood-Hank.txt,December 6 2008,None,None,None,ImgData/Schema-X_Favorite-&-Hollywood-Hank.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
Hollywood Hank,None,None,None,None,Shneezin 257,Keule 257,None,None,None,Favorite,Hollywood Hank,Keule 257,Shneezin 257,None,None,Neo 2.0,Favorite & Hollywood Hank,LyricsData/Neo-2.0_Favorite-&-Hollywood-Hank.txt,December 6 2008,None,None,None,ImgData/Neo-2.0_Favorite-&-Hollywood-Hank.jpg,Keule 257,None,5,None,None,None,None,None,None,None,None,None,None
Flib,Ksd Pictures,Ansen - Creativemindlab,None,None,None,None,None,None,None,Flib,None,None,None,None,None,Mein Weg,Flib,LyricsData/Mein-Weg_Flib.txt,August 26 2016,None,None,None,ImgData/Mein-Weg_Flib.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Ksd Pictures,Flib,Ansen - Creativemindlab,None,None,None,None,None,None,None,Flib,None,None,None,None,None,Lässig leben,Flib,LyricsData/Lässig-leben_Flib.txt,May 1 2017,None,None,None,ImgData/Lässig-leben_Flib.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
