Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
Cypress Hill,Cypress Hill IV,1998,Tequila Sunrise (Ft. Barron Ricks),Barron Ricks,None,None,None
Cypress Hill,Cypress Hill IV,1998,Dead Men Tell No Tales,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Feature Presentation (Ft. Barron Ricks & Chace Infinite),Barron Ricks,Chace Infinite,None,None
Cypress Hill,Cypress Hill IV,1998,Dr. Greenthumb,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,16 Men Till There's No Men Left,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,High Times,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Clash of the Titans,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Lightning Strikes,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Case Closed,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Trouble,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Kronologik (Ft. Kurupt),Kurupt,None,None,None
Cypress Hill,Stoned Raiders,2001,Southland Killers (Ft. King T & MC Ren),King T,MC Ren,None,None
Cypress Hill,Stoned Raiders,2001,Bitter,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Amplified,None,None,None,None
Cypress Hill,Stoned Raiders,2001,It Ain't Easy,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Memories,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Psychodelic Vision,None,None,None,None
Cypress Hill,Stoned Raiders,2001,"Red, Meth & B (Ft. Method Man & Redman)",Method Man,Redman,None,None
Cypress Hill,Stoned Raiders,2001,Lowrider (Ft. Mellow Man Ace),Mellow Man Ace,None,None,None
Cypress Hill,Stoned Raiders,2001,Catastrophe,None,None,None,None
Cypress Hill,Stoned Raiders,2001,L.I.F.E (Ft. Kokane),Kokane,None,None,None
Cypress Hill,Stoned Raiders,2001,Here is Something You Can't Understand (Ft. Kurupt),Kurupt,None,None,None
Cypress Hill,Stoned Raiders,2001,Weed Man (Bonus Track),None,None,None,None
Cypress Hill,Stoned Raiders,2001,Low Rider,None,None,None,None
Cypress Hill,Stoned Raiders,2001,Weed Man,None,None,None,None
Cypress Hill,Skull & Bones,2000,Intro,None,None,None,None
Cypress Hill,Skull & Bones,2000,Another Victory,None,None,None,None
Cypress Hill,Skull & Bones,2000,Rap Superstar (Ft. Eminem & N.O.R.E.),Eminem,N.O.R.E.,None,None
Cypress Hill,Skull & Bones,2000,Cuban Necktie,None,None,None,None
Cypress Hill,Skull & Bones,2000,What U Want From Me,None,None,None,None
Cypress Hill,Skull & Bones,2000,Stank Ass Hoe,None,None,None,None
Cypress Hill,Skull & Bones,2000,Highlife,None,None,None,None
Cypress Hill,Grow House,None,Reefer Man (Ft. B-Real & Sen Dog),B-Real,Sen Dog,None,None
Cypress Hill,Skull & Bones,2000,Certified Bomb,None,None,None,None
Cypress Hill,Skull & Bones,2000,Can I Get a Hit,None,None,None,None
Cypress Hill,Skull & Bones,2000,We Live This Shit,None,None,None,None
Cypress Hill,Skull & Bones,2000,Worldwide,None,None,None,None
Cypress Hill,Skull & Bones,2000,Valley of Chrome,None,None,None,None
